17
843 1986
476 509 113
2 178 99
204 770 996
264 757 456
23 467 450
286 667 396
298 182 241
822 494 959
162 823 385
204 811 764
660 458 843
293 503 546
464 448 213
355 486 145
747 751 672
4 506 924
642 194 349
318 567 744
678 440 253
492 201 131
546 647 273
423 480 144
704 528 77
797 491 305
148 744 779
151 633 125
426 107 733
539 250 6
440 742 756
527 149 957
341 827 178
166 650 271
217 62 459
181 318 861
611 343 217
137 18 938
510 221 304
593 689 245
840 698 367
5 304 283
86 120 82
88 520 950
496 270 718
724 793 850
401 526 519
827 689 117
172 685 599
527 729 713
187 107 355
553 266 79
767 344 98
207 667 760
418 440 524
326 112 756
274 526 141
824 146 598
665 275 600
532 215 919
134 401 434
768 613 642
83 532 639
129 700 460
488 243 759
283 98 425
814 324 813
449 592 972
788 32 344
446 404 896
265 525 174
812 256 81
691 378 636
386 285 917
802 332 575
809 496 974
174 775 659
123 686 769
633 415 337
143 208 812
386 606 969
297 316 414
145 102 155
14 690 977
171 768 881
29 840 700
793 143 90
574 147 40
122 329 352
208 260 190
749 611 241
648 635 616
700 359 347
548 145 192
198 474 406
12 768 53
647 728 24
316 378 319
469 422 888
782 273 692
509 111 450
494 467 371
382 81 460
832 777 461
803 396 952
131 572 12
230 520 322
808 317 42
784 638 881
197 225 460
101 209 2
747 640 941
505 76 333
461 766 794
85 308 922
218 464 714
486 677 819
401 58 661
418 410 339
641 395 104
737 104 812
84 597 954
825 751 584
76 610 489
146 302 332
342 63 125
663 801 755
677 345 751
542 803 297
30 620 396
578 75 524
255 68 427
519 736 779
472 67 428
30 602 95
781 672 734
698 711 958
299 564 367
111 327 809
413 272 979
168 224 564
580 500 57
636 685 445
602 260 753
811 33 144
739 170 118
489 620 733
8 843 818
153 30 568
167 459 930
539 81 283
92 466 316
814 165 233
763 838 620
469 613 262
686 142 606
685 27 992
73 249 731
16 620 874
826 434 270
503 773 672
87 264 858
781 473 735
219 104 510
245 820 196
57 506 693
133 587 348
820 761 712
301 798 845
216 769 123
388 304 454
371 412 864
697 111 253
373 616 893
232 655 629
595 339 179
183 801 769
572 168 846
127 654 353
65 817 587
435 832 690
271 18 970
243 683 259
389 136 568
770 799 644
635 401 304
627 85 742
60 390 243
319 173 377
642 647 709
549 462 330
417 36 768
664 99 136
792 304 955
118 825 107
630 808 485
525 744 135
736 502 16
429 521 976
134 748 212
37 263 219
488 225 521
685 745 815
180 682 636
632 263 142
389 591 5
224 812 585
353 651 468
693 83 145
597 442 811
170 545 526
588 477 637
92 403 405
814 81 935
120 182 762
221 576 705
181 147 123
236 329 427
573 78 406
787 843 283
397 607 959
125 433 664
779 390 500
296 425 940
236 197 787
28 526 99
639 181 614
255 631 529
135 657 771
502 247 926
488 716 382
438 40 370
173 671 409
94 133 43
509 437 859
737 116 974
494 814 753
420 580 496
513 145 413
670 255 537
826 838 703
681 673 180
350 187 891
310 70 438
281 575 546
679 353 11
386 198 811
272 65 105
406 743 903
224 641 648
646 519 722
187 384 603
576 330 459
22 427 685
432 663 844
817 171 63
548 524 233
406 294 903
628 534 978
175 319 680
161 821 431
771 451 803
806 763 229
27 766 293
333 577 220
97 740 723
453 84 639
577 834 47
822 252 576
353 27 449
330 454 229
805 377 652
803 67 343
513 156 619
83 28 791
68 724 480
633 589 864
801 623 568
424 350 831
243 181 858
797 704 352
259 298 223
422 55 856
737 752 77
338 296 395
103 649 801
816 200 970
726 386 308
643 194 166
627 168 323
355 111 195
469 817 465
564 37 643
805 335 12
401 194 316
277 82 131
560 770 560
822 174 156
585 366 793
599 545 65
601 534 347
75 420 346
730 758 635
820 634 656
221 827 497
744 72 624
66 330 640
393 36 606
482 795 336
785 597 8
51 797 488
269 724 987
171 805 595
337 463 758
763 42 560
84 291 624
204 834 69
806 671 848
240 457 731
733 427 915
797 838 740
319 204 98
774 684 334
438 500 975
278 684 128
843 354 309
802 328 775
669 751 456
375 22 537
449 622 827
420 819 720
572 478 621
713 200 547
375 381 421
805 270 288
525 63 775
618 524 780
758 699 504
286 359 592
399 388 28
625 515 692
554 620 67
813 691 236
158 543 914
17 88 824
640 681 290
718 469 363
634 253 963
556 648 592
726 91 989
550 292 857
448 432 715
333 705 919
90 258 224
763 283 588
110 728 292
558 447 443
7 1 741
459 828 71
531 826 96
291 20 853
25 394 736
704 721 101
10 609 335
439 156 997
781 218 392
204 787 895
452 830 577
329 438 717
211 484 983
60 13 426
26 677 658
513 822 937
597 404 254
44 352 938
469 301 676
726 44 929
626 19 297
641 70 295
223 793 754
520 421 659
524 18 937
209 562 880
682 236 253
785 502 183
362 78 759
615 755 154
569 443 729
736 152 915
425 394 288
396 178 707
537 604 988
345 632 906
264 431 934
452 114 180
64 641 343
158 404 371
273 615 470
771 226 656
835 104 999
811 517 885
526 75 180
173 588 97
373 271 333
394 661 201
612 44 806
510 246 24
404 383 979
725 632 30
277 831 665
394 558 158
546 118 17
144 779 79
60 537 105
294 123 112
293 722 899
635 603 349
816 628 538
682 316 534
508 791 695
207 806 578
401 551 868
419 240 51
219 380 236
401 246 78
785 267 936
252 699 483
219 693 429
639 648 920
489 104 737
68 727 912
753 254 205
664 724 598
399 561 729
16 785 432
262 816 980
46 313 206
813 82 601
512 305 59
574 238 714
687 168 169
38 523 850
651 23 331
670 742 212
52 512 747
179 328 883
377 340 758
429 248 17
195 455 873
300 789 341
511 534 411
301 344 353
209 585 785
153 134 55
817 351 117
670 420 184
707 62 187
831 791 264
801 32 774
112 6 348
239 78 82
720 803 185
163 432 119
154 270 619
147 454 485
605 668 965
85 424 576
83 321 615
16 6 891
355 104 869
427 403 983
764 841 465
163 748 973
485 163 429
481 681 990
263 340 741
105 210 998
143 696 865
271 538 394
335 399 590
124 109 862
720 505 620
278 351 491
399 285 716
687 265 505
64 143 102
256 62 383
694 88 126
317 278 474
626 804 617
503 424 355
733 728 350
431 685 501
420 18 765
141 389 475
152 370 54
390 236 551
737 590 397
335 796 139
774 717 436
101 247 911
772 516 337
410 704 838
840 657 91
271 180 6
203 641 51
800 58 148
828 138 381
167 371 624
385 842 368
614 447 657
567 551 197
672 535 514
276 394 871
745 346 824
839 368 523
431 429 537
787 200 953
138 46 830
7 417 728
141 148 218
232 462 266
348 279 726
736 149 525
481 554 314
748 569 864
386 641 309
75 672 463
760 237 752
49 266 657
550 809 304
153 436 643
779 180 733
652 523 749
279 634 650
382 28 670
264 131 906
330 156 687
398 54 273
321 721 712
443 26 100
727 203 72
121 499 980
610 782 86
326 229 550
246 176 256
454 109 432
386 688 96
435 176 93
377 424 339
197 597 806
237 769 444
562 185 912
621 43 33
437 210 579
275 24 68
519 550 956
379 364 559
321 42 213
683 786 41
828 561 554
74 9 311
424 771 978
185 834 828
841 122 898
196 524 700
463 151 385
562 108 921
366 462 660
641 741 447
55 820 772
387 420 414
156 220 78
95 4 292
670 21 385
442 646 961
650 738 351
554 739 942
351 695 154
742 424 660
359 457 82
835 831 482
292 830 418
282 145 934
504 210 719
393 564 339
555 126 988
459 113 792
178 80 715
184 280 490
448 726 932
72 39 232
235 772 368
458 234 426
712 580 620
366 109 352
372 581 513
285 594 316
780 651 436
612 343 530
100 450 175
241 285 11
388 384 310
613 174 114
54 207 367
746 735 310
552 440 598
54 521 988
493 664 828
457 823 131
136 260 324
407 779 832
833 125 436
430 462 630
485 711 429
477 267 804
541 696 384
304 612 716
548 387 554
243 511 293
361 39 554
449 627 450
762 28 872
548 24 148
26 366 899
556 618 814
300 301 958
294 65 188
420 701 426
301 14 512
263 164 361
456 600 527
392 538 685
60 241 910
797 576 135
754 178 782
548 580 659
204 421 651
593 296 10
262 129 465
176 270 546
358 10 315
355 332 391
738 324 593
794 636 201
2 489 161
385 46 456
66 836 606
688 602 512
2 561 554
798 638 71
842 663 291
188 43 398
755 313 811
50 149 300
839 650 460
710 132 614
383 525 58
484 239 254
716 193 25
621 740 937
223 662 258
791 637 414
244 25 110
660 836 733
324 563 327
690 64 274
682 157 659
164 791 412
509 584 581
616 491 882
183 782 712
517 780 920
718 420 444
226 590 956
505 394 580
29 165 312
500 152 164
29 216 20
111 381 87
693 476 333
114 590 650
172 255 17
259 219 927
626 285 813
714 340 163
116 108 670
26 794 171
609 208 89
486 580 21
151 622 765
437 355 46
369 326 472
194 204 545
378 552 346
152 733 790
493 238 882
446 640 680
111 275 626
654 658 817
672 794 594
703 207 488
238 300 901
807 655 391
335 219 655
626 183 417
840 842 377
89 143 997
564 258 189
692 391 703
203 525 202
282 51 513
778 657 203
557 115 303
667 481 213
325 377 290
794 295 179
138 461 450
817 812 386
598 719 221
363 56 227
513 320 605
479 819 970
428 151 737
503 743 528
841 140 569
176 455 669
579 29 689
294 646 339
442 495 503
658 335 998
301 67 278
622 342 804
436 810 98
318 162 73
82 626 192
624 493 598
810 193 934
114 668 533
194 115 589
309 562 92
493 817 195
349 417 853
457 576 253
245 451 563
188 52 475
309 532 986
492 70 79
47 69 722
24 707 720
352 62 976
249 495 973
749 607 788
704 569 306
487 101 782
249 612 600
390 77 259
783 4 122
113 73 218
177 39 452
698 89 635
779 569 144
416 677 953
705 699 849
459 431 765
493 160 841
250 488 661
789 466 530
792 172 670
371 131 109
679 641 88
166 219 334
657 709 597
779 649 253
646 559 797
582 610 951
137 22 919
63 503 625
261 531 669
717 697 966
672 274 8
309 35 651
699 42 879
202 226 616
625 834 476
807 250 146
784 90 42
288 724 321
525 422 262
257 162 173
91 644 752
263 573 423
810 133 550
648 156 288
7 535 75
290 615 420
823 57 841
479 62 884
196 711 329
69 779 67
322 448 706
543 694 681
225 600 587
451 94 702
606 473 788
413 718 814
614 516 665
420 491 126
769 509 102
810 274 585
46 109 406
230 547 791
163 282 698
336 113 370
499 583 143
331 702 552
652 316 195
12 536 620
287 498 607
456 176 46
483 146 330
369 611 841
20 350 14
627 727 941
451 280 547
617 25 69
759 478 776
633 646 603
5 730 478
572 602 499
558 421 850
514 29 601
458 411 790
3 201 391
735 758 842
632 7 541
463 241 627
757 17 468
814 71 235
311 597 752
447 53 900
815 587 337
374 157 430
226 669 533
309 650 530
826 199 493
45 418 334
641 752 685
624 621 615
737 44 457
309 50 799
408 414 804
167 205 415
687 511 702
628 246 629
179 809 550
651 173 133
483 276 704
110 335 421
433 334 131
589 241 305
470 300 612
380 251 816
385 488 219
282 583 196
577 499 498
11 505 557
99 144 759
631 508 446
651 421 931
294 17 407
729 44 770
180 270 586
800 244 68
742 100 208
119 793 31
273 830 240
572 416 18
734 642 610
319 308 580
356 380 78
826 647 431
634 688 280
63 111 553
733 184 789
248 659 644
779 661 976
586 130 602
684 792 483
129 716 647
435 208 374
504 172 652
482 723 710
782 356 282
627 543 683
478 192 515
65 396 926
436 295 329
788 644 458
776 318 684
622 787 865
147 365 355
149 479 104
690 354 735
775 283 823
673 610 712
601 122 335
695 661 153
16 382 25
654 603 702
434 367 360
429 660 297
305 285 273
228 587 783
230 729 330
515 450 68
406 43 187
405 489 378
717 462 767
660 518 472
520 691 892
705 578 832
251 492 32
61 274 750
630 374 731
56 172 767
187 457 883
380 322 14
660 302 513
390 150 579
27 758 589
28 357 67
296 411 333
393 510 687
300 257 483
480 664 198
809 486 465
722 840 104
591 508 443
582 287 949
260 414 193
595 793 72
745 515 57
592 100 734
582 165 31
41 77 50
232 712 394
400 637 841
602 192 39
661 166 164
839 449 343
726 773 242
225 802 393
298 183 355
140 409 852
151 599 490
42 358 549
